Vb_set(V),R_1w(V),theta_1w(deg),C_j(pF),1/C2(pF-2),w(cm),R_2w(V)
0.0000,1.756790e-04,-175.8520,143.2815,4.871017e-05,3.667747e-05,4.351390e-06
-0.2000,1.396380e-04,-171.9580,113.3369,7.784972e-05,4.636797e-05,2.043060e-06
-0.4000,1.200450e-04,-170.6060,97.0581,1.061539e-04,5.414490e-05,1.274830e-06
-0.6000,1.073750e-04,-169.7220,86.5313,1.335530e-04,6.073182e-05,8.880500e-07
-0.8000,9.829140e-05,-169.0910,78.9842,1.602948e-04,6.653486e-05,6.603440e-07
-1.0000,9.143170e-05,-168.6290,73.2848,1.861966e-04,7.170928e-05,5.191390e-07
-1.2000,8.598450e-05,-168.2570,68.7590,2.115146e-04,7.642926e-05,4.229660e-07
-1.4000,8.151960e-05,-167.9700,65.0494,2.363271e-04,8.078789e-05,3.386620e-07
-1.6000,7.782700e-05,-167.7270,61.9814,2.603018e-04,8.478677e-05,2.678310e-07
-1.8000,7.462690e-05,-167.5410,59.3226,2.841577e-04,8.858685e-05,2.218330e-07
-2.0000,7.184920e-05,-167.4090,57.0148,3.076276e-04,9.217267e-05,2.449670e-07
-2.2000,6.947140e-05,-167.2600,55.0392,3.301081e-04,9.548114e-05,1.704510e-07
-2.4000,6.731730e-05,-167.1100,53.2494,3.526711e-04,9.869029e-05,1.542310e-07
-2.6000,6.539800e-05,-167.0170,51.6548,3.747819e-04,1.017370e-04,1.152880e-07
-2.8000,6.371850e-05,-166.9520,50.2594,3.958818e-04,1.045616e-04,1.328480e-07
-3.0000,6.210330e-05,-166.8550,48.9174,4.179008e-04,1.074301e-04,1.239920e-07
-3.2000,6.068420e-05,-166.7730,47.7383,4.387986e-04,1.100835e-04,8.258130e-08
-3.4000,5.934710e-05,-166.6860,46.6274,4.599569e-04,1.127063e-04,6.766290e-08
-3.6000,5.819030e-05,-166.6240,45.6663,4.795218e-04,1.150784e-04,7.588340e-08
-3.8000,5.710380e-05,-166.5470,44.7636,4.990572e-04,1.173991e-04,7.063990e-08
-4.0000,5.603640e-05,-166.5190,43.8767,5.194352e-04,1.197720e-04,4.661450e-08
-4.2000,5.506540e-05,-166.4660,43.0700,5.390768e-04,1.220154e-04,1.073330e-07
-4.4000,5.417270e-05,-166.4040,42.3283,5.581342e-04,1.241535e-04,6.341050e-08
-4.6000,5.334770e-05,-166.3390,41.6428,5.766595e-04,1.261971e-04,6.742230e-08
-4.8000,5.253580e-05,-166.2990,40.9683,5.958058e-04,1.282750e-04,4.907980e-08
-5.0000,5.177940e-05,-166.2400,40.3398,6.145145e-04,1.302734e-04,7.685620e-08
-5.2000,5.109490e-05,-166.2130,39.7711,6.322150e-04,1.321362e-04,3.333530e-08
-5.4000,5.039940e-05,-166.0880,39.1932,6.509948e-04,1.340844e-04,1.052090e-07
-5.6000,4.986260e-05,-166.0770,38.7472,6.660676e-04,1.356278e-04,6.331040e-08
-5.8000,4.917970e-05,-166.0700,38.1799,6.860113e-04,1.376433e-04,6.201740e-08
-6.0000,4.862700e-05,-165.9410,37.7207,7.028160e-04,1.393190e-04,5.721720e-08
-6.2000,4.811010e-05,-165.8950,37.2912,7.190972e-04,1.409235e-04,1.673190e-08
-6.4000,4.759820e-05,-165.9240,36.8659,7.357849e-04,1.425493e-04,1.991070e-08
-6.6000,4.713000e-05,-165.8350,36.4769,7.515620e-04,1.440695e-04,4.319220e-08
-6.8000,4.667360e-05,-165.7250,36.0977,7.674349e-04,1.455829e-04,7.843290e-08
-7.0000,4.618520e-05,-165.7760,35.6919,7.849843e-04,1.472380e-04,8.314910e-08
-7.2000,4.577120e-05,-165.6300,35.3479,8.003360e-04,1.486708e-04,7.009160e-08
-7.4000,4.535300e-05,-165.6650,35.0005,8.163052e-04,1.501467e-04,2.998150e-08
-7.6000,4.496380e-05,-165.5170,34.6771,8.316004e-04,1.515468e-04,1.249580e-08
-7.8000,4.473640e-05,-165.4890,34.4882,8.407368e-04,1.523770e-04,3.157870e-08
-8.0000,4.432570e-05,-165.5750,34.1469,8.576236e-04,1.538997e-04,9.544320e-08
-8.2000,4.398690e-05,-165.4760,33.8654,8.719401e-04,1.551790e-04,5.832390e-08
-8.4000,4.362180e-05,-165.3710,33.5621,8.877730e-04,1.565815e-04,8.530540e-08
-8.6000,4.332090e-05,-165.3330,33.3121,9.011482e-04,1.577566e-04,1.261060e-07
-8.8000,4.296150e-05,-165.2490,33.0135,9.175236e-04,1.591835e-04,9.511420e-08
-9.0000,4.273840e-05,-165.1860,32.8281,9.279144e-04,1.600824e-04,1.007470e-07
-9.2000,4.240390e-05,-165.0990,32.5502,9.438274e-04,1.614492e-04,6.564090e-08
-9.4000,4.222470e-05,-164.9600,32.4013,9.525213e-04,1.621910e-04,8.722730e-08
-9.6000,4.184840e-05,-165.0620,32.0887,9.711730e-04,1.637713e-04,1.138770e-07
-9.8000,4.165250e-05,-165.0000,31.9259,9.811007e-04,1.646062e-04,4.884590e-08
-10.0000,4.140630e-05,-164.8830,31.7214,9.937947e-04,1.656677e-04,6.113740e-08
